,Code,Code/Description,header,subheader,sub-subheader,Year,Amount,page_type
0,2051,Public Service Commission,GENERAL SERVICES,Administrative Services,,2022,741.88,Disbursements
1,2052,Secretariat-General Services,GENERAL SERVICES,Administrative Services,,2022,9390.81,Disbursements
2,2053,District Administration,GENERAL SERVICES,Administrative Services,,2022,62.12,Disbursements
3,2054,Treasury and Accounts Administration,GENERAL SERVICES,Administrative Services,,2022,32.35,Disbursements
4,2055,Police,GENERAL SERVICES,Administrative Services,,2022,99537.64,Disbursements
5,2056,Jails,GENERAL SERVICES,Administrative Services,,2022,39.04,Disbursements
6,2057,Supplies and Disposals,GENERAL SERVICES,Administrative Services,,2022,23.84,Disbursements
7,2058,Stationery and Printing,GENERAL SERVICES,Administrative Services,,2022,88.24,Disbursements
8,2059,Public Works,GENERAL SERVICES,Administrative Services,,2022,2404.03,Disbursements
9,2061,External Affairs,GENERAL SERVICES,Administrative Services,,2022,8337.8,Disbursements
10,2062,Vigilance,GENERAL SERVICES,Administrative Services,,2022,55.46,Disbursements
11,2070,Other Administrative Services,GENERAL SERVICES,Administrative Services,,2022,968.5,Disbursements
12,nan,TOTALADMINISTRATIVE SERVICES,GENERAL SERVICES,Administrative Services,,2022,121657.87,Disbursements
13,2071,3 31 dgR fH Pensions and Other Retirement Benefits,GENERAL SERVICES,Pension and Miscellaneous General Services,,2022,198946.1,Disbursements
14,2075,Miscellaneous General Services,GENERAL SERVICES,Pension and Miscellaneous General Services,,2022,20035.58,Disbursements
15,nan,TOTAL-PENSIONS AND MISCELLANEOUS GENERAL SERVICES,GENERAL SERVICES,Pension and Miscellaneous General Services,,2022,218981.68,Disbursements
16,2076,Defence Services-Army,GENERAL SERVICES,Defense Services,,2022,161728.26,Disbursements
17,2077,Defence Services-Navy,GENERAL SERVICES,Defense Services,,2022,24426.51,Disbursements
18,2078,Defence Services-Air Force,GENERAL SERVICES,Defense Services,,2022,35687.94,Disbursements
19,2079,Defence Services-Ordnance Factories,GENERAL SERVICES,Defense Services,,2022,4706.93,Disbursements
20,2080,PETT aT3T 31 faT Defence Services-Research and Development 22 TOTAL-DEFENCE SERVICES,GENERAL SERVICES,Defense Services,,2022,234955.86,Disbursements
21,nan,TOTAL-A-GENERALSERVICES,GENERAL SERVICES,Defense Services,,2022,1482118.55,Disbursements
22,2051,Public Service Commission,GENERAL SERVICES,Administrative Services,,2021,665.15,Disbursements
23,2052,Secretariat-General Services,GENERAL SERVICES,Administrative Services,,2021,7208.26,Disbursements
24,2053,District Administration,GENERAL SERVICES,Administrative Services,,2021,60.22,Disbursements
25,2054,Treasury and Accounts Administration,GENERAL SERVICES,Administrative Services,,2021,31.45,Disbursements
26,2055,Police,GENERAL SERVICES,Administrative Services,,2021,87948.12,Disbursements
27,2056,Jails,GENERAL SERVICES,Administrative Services,,2021,34.63,Disbursements
28,2057,Supplies and Disposals,GENERAL SERVICES,Administrative Services,,2021,,Disbursements
29,2058,Stationery and Printing,GENERAL SERVICES,Administrative Services,,2021,102.34,Disbursements
30,2059,Public Works,GENERAL SERVICES,Administrative Services,,2021,2312.57,Disbursements
31,2061,External Affairs,GENERAL SERVICES,Administrative Services,,2021,7751.76,Disbursements
32,2062,Vigilance,GENERAL SERVICES,Administrative Services,,2021,49.13,Disbursements
33,2070,Other Administrative Services,GENERAL SERVICES,Administrative Services,,2021,916.07,Disbursements
34,nan,TOTALADMINISTRATIVE SERVICES,GENERAL SERVICES,Administrative Services,,2021,107103.54,Disbursements
35,2071,3 31 dgR fH Pensions and Other Retirement Benefits,GENERAL SERVICES,Pension and Miscellaneous General Services,,2021,208473.05,Disbursements
36,2075,Miscellaneous General Services,GENERAL SERVICES,Pension and Miscellaneous General Services,,2021,19099.57,Disbursements
37,nan,TOTAL-PENSIONS AND MISCELLANEOUS GENERAL SERVICES,GENERAL SERVICES,Pension and Miscellaneous General Services,,2021,227572.62,Disbursements
38,2076,Defence Services-Army,GENERAL SERVICES,Defense Services,,2021,145181.03,Disbursements
39,2077,Defence Services-Navy,GENERAL SERVICES,Defense Services,,2021,24710.35,Disbursements
40,2078,Defence Services-Air Force,GENERAL SERVICES,Defense Services,,2021,34615.95,Disbursements
41,2079,Defence Services-Ordnance Factories,GENERAL SERVICES,Defense Services,,2021,2655.63,Disbursements
42,2080,PETT aT3T 31 faT Defence Services-Research and Development 22 TOTAL-DEFENCE SERVICES,GENERAL SERVICES,Defense Services,,2021,215513.73,Disbursements
43,nan,TOTAL-A-GENERALSERVICES,GENERAL SERVICES,Defense Services,,2021,1296966.82,Disbursements
